time,condition_type,condition_value,area_bin,frequency
day3,cn_ratio,6,650,0.021979041
day3,cn_ratio,6,750,0.033571362
day3,cn_ratio,6,850,0.042103311
day3,cn_ratio,6,950,0.052490031
day3,cn_ratio,6,1050,0.078364092
day3,cn_ratio,6,1150,0.106000185
day3,cn_ratio,6,1250,0.113048317
day3,cn_ratio,6,1350,0.121023834
day3,cn_ratio,6,1450,0.104238153
day3,cn_ratio,6,1550,0.091347491
day3,cn_ratio,6,1650,0.073077993
day3,cn_ratio,6,1750,0.049429658
day3,cn_ratio,6,1850,0.03051099
day3,cn_ratio,6,1950,0.024946675
day3,cn_ratio,6,2050,0.012426968
day3,cn_ratio,6,2150,0.009830288
day3,cn_ratio,6,2250,0.006120746
day3,cn_ratio,6,2350,0.004451451
day3,cn_ratio,6,2450,0.003060373
day3,cn_ratio,6,2550,0.002040249
day3,cn_ratio,6,2650,0.000741909
day3,cn_ratio,6,2750,0.000556431
day3,cn_ratio,6,2850,0.000834647
day3,cn_ratio,6,2950,0.000185477
day3,cn_ratio,6,3050,0.000463693
day3,cn_ratio,6,3150,0.000556431
day3,cn_ratio,6,3250,0.000556431
day3,cn_ratio,6,3350,9.27E-05
day3,cn_ratio,6,3450,9.27E-05
day4,cn_ratio,1,550,0.008560398
day4,cn_ratio,1,650,0.009847256
day4,cn_ratio,1,750,0.012141219
day4,cn_ratio,1,850,0.016057741
day4,cn_ratio,1,950,0.023275332
day4,cn_ratio,1,1050,0.041235383
day4,cn_ratio,1,1150,0.066133274
day4,cn_ratio,1,1250,0.102109327
day4,cn_ratio,1,1350,0.119957478
day4,cn_ratio,1,1450,0.11688021
day4,cn_ratio,1,1550,0.116096906
day4,cn_ratio,1,1650,0.105690147
day4,cn_ratio,1,1750,0.087562245
day4,cn_ratio,1,1850,0.062608404
day4,cn_ratio,1,1950,0.046662564
day4,cn_ratio,1,2050,0.026352599
day4,cn_ratio,1,2150,0.016561294
day4,cn_ratio,1,2250,0.0088961
day4,cn_ratio,1,2350,0.004587926
day4,cn_ratio,1,2450,0.003245118
day4,cn_ratio,1,2550,0.001230907
day4,cn_ratio,1,2650,0.001286857
day4,cn_ratio,1,2750,0.000671404
day4,cn_ratio,1,2850,0.000783304
day4,cn_ratio,1,2950,0.000671404
day4,cn_ratio,1,3050,5.60E-05
day4,cn_ratio,1,3150,0.000223801
day4,cn_ratio,1,3250,0.000391652
day4,cn_ratio,1,3350,0.000111901
day4,cn_ratio,1,3450,0.000111901
day4,cn_ratio,2,550,0.003077903
day4,cn_ratio,2,650,0.004988325
day4,cn_ratio,2,750,0.007747824
day4,cn_ratio,2,850,0.01878582
day4,cn_ratio,2,950,0.038102314
day4,cn_ratio,2,1050,0.064848228
day4,cn_ratio,2,1150,0.087242624
day4,cn_ratio,2,1250,0.100403311
day4,cn_ratio,2,1350,0.114837614
day4,cn_ratio,2,1450,0.110698366
day4,cn_ratio,2,1550,0.113139461
day4,cn_ratio,2,1650,0.106452982
day4,cn_ratio,2,1750,0.081086818
day4,cn_ratio,2,1850,0.059329229
day4,cn_ratio,2,1950,0.03778391
day4,cn_ratio,2,2050,0.020377839
day4,cn_ratio,2,2150,0.011780938
day4,cn_ratio,2,2250,0.008172363
day4,cn_ratio,2,2350,0.004033114
day4,cn_ratio,2,2450,0.00254723
day4,cn_ratio,2,2550,0.001485884
day4,cn_ratio,2,2650,0.000955211
day4,cn_ratio,2,2750,0.000530673
day4,cn_ratio,2,2850,0.000318404
