sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
8343,0088_masks.tif,92,22271.0,1274.8355697996826,458.7623612924117,63.92923506315537,7.176096520460517,0.990242976362096,-39.39704231802828,4718.780836064838,2098.78393426429,8070,0.3623546315836738,174.9593505859375,171.48512268066406,133.8395233154297
8344,0088_masks.tif,93,18425.0,895.0121933088197,373.89136912213087,64.90907225309724,5.7602328325419885,0.9848155251997082,8.95010834066014,2794.1902306648576,2161.6430393487108,7112,0.3859972862957938,185.6635284423828,183.5510406494141,141.71217346191406
8345,0088_masks.tif,94,15029.0,902.1665222413704,323.46549841981005,62.75106105129661,5.154741497604149,0.9810022905911058,44.277559197036624,3580.077516800852,2138.235012309535,5585,0.3716148779027214,179.03599548339844,175.6247100830078,145.05299377441406
8346,0088_masks.tif,95,22779.0,1161.5391052434009,457.6431375748817,68.32837748508308,6.697702395681659,0.98879120005875,-71.1816720280123,2520.2139251064577,2105.7364238992054,9587,0.4208700996531893,180.077392578125,177.3763427734375,138.12277221679688
8347,0088_masks.tif,96,18997.0,1053.237590053236,388.6789126729409,66.37704725540853,5.855622217983952,0.9853098713869456,-55.46337460166955,2605.359425172396,2182.3001526556823,6588,0.3467915986734747,185.9729766845703,182.69581604003903,138.52398681640625
8348,0088_masks.tif,97,8431.0,546.1837661840735,193.9232909706901,64.926334670379,2.9868202472110696,0.9422877158594524,55.00215720270225,61.416083501364014,2128.542165816629,2569,0.3047088127149804,177.22421264648438,173.2413330078125,137.16114807128906
8349,0088_masks.tif,98,8687.0,544.4264068711929,194.46605282463617,62.2138915306648,3.12576577417256,0.9474440180482074,-57.64743691212216,5373.102336825141,2133.275238862668,2260,0.2601588580637735,162.54513549804688,162.106201171875,117.67389678955078
8350,0088_masks.tif,99,19796.0,1285.865007051205,467.21649354900273,65.16319930240252,7.169944056626097,0.9902261416779496,-56.16031387022812,2480.622398464336,2200.039250353607,6007,0.3034451404324106,187.5580139160156,183.9156036376953,144.0634307861328
8351,0088_masks.tif,100,28927.0,1387.5218613006978,508.1492348433439,79.05084610812354,6.428131511056967,0.9878254689183084,-60.31477528899445,4109.574549728627,2213.774916168285,7844,0.271165347253431,179.70716857910156,175.157958984375,135.4339599609375
8352,0088_masks.tif,101,16982.0,841.0538238691624,314.1390846263848,69.75186164840531,4.503665955323886,0.9750372534735684,21.54588480867161,869.0312684018372,2255.007890707808,6130,0.3609704392886586,169.6220245361328,163.53964233398438,134.90196228027344
8353,0088_masks.tif,102,15521.0,856.953318805774,309.5280329072144,67.95033552074166,4.555209779835919,0.9756060068458372,30.23029463502284,3725.876489916887,2244.1719605695507,7816,0.5035758005283165,184.33534240722656,181.46046447753903,132.986572265625
8354,0088_masks.tif,103,18609.0,1027.4386001800126,374.0544028275168,66.32248774441972,5.639933234545913,0.9841555797955176,67.73774849536184,3552.762910419689,2234.9473910473425,7231,0.3885754204954592,181.8427581787109,177.04978942871094,139.4145965576172
8355,0088_masks.tif,104,7434.0,498.62741699796953,200.27743349126823,51.05685984477613,3.9226351581384926,0.9669593345467214,-85.0756153726858,5358.024078557977,2209.0368576809256,2134,0.287059456550982,159.38284301757812,163.30364990234375,118.85894775390624
8356,0088_masks.tif,105,23927.0,1047.0538238691624,397.91607134655646,88.71191205809859,4.485486358201321,0.9748318791680326,14.858278771718524,5187.723492289046,2368.7858486228947,9106,0.3805742466669453,175.61080932617188,175.9912109375,137.62606811523438
8357,0088_masks.tif,106,21631.0,1130.0832611206852,474.58085903956754,73.23957446972047,6.47984184064005,0.9880201770249036,86.6627318371943,3115.526651564884,2233.4916092644817,7506,0.3470019878877536,178.0636749267578,174.73834228515625,135.75405883789062
8358,0088_masks.tif,107,19813.0,1119.865007051205,417.36963461799616,63.31614325377867,6.591836033744645,0.9884261528869336,-44.41433690963327,1343.787917024176,2372.224448594357,7756,0.3914601524251754,184.8947906494141,179.99200439453125,138.51315307617188
8359,0088_masks.tif,108,20567.0,1133.681240867132,413.67790650364367,74.52264121989109,5.551036567303354,0.9836397847479308,-66.37040611373935,2938.4304468323044,2314.849759323188,8939,0.4346282880342296,186.2881774902344,182.4865264892578,135.93019104003906
8360,0088_masks.tif,109,16028.0,902.1665222413704,323.9580825641577,65.40042785530693,4.953455094833451,0.9794104104372218,-51.38407537595173,4445.055839780384,2377.917456950337,5265,0.3284876466184178,173.36239624023438,174.3206024169922,126.7956314086914
8361,0088_masks.tif,110,24084.0,1316.79393923934,502.25477828202537,67.39786160942812,7.452087741189792,0.9909555425861276,-28.063559056267536,4263.958810828766,2503.108744394619,6658,0.276449094834745,178.24842834472656,174.38134765625,137.55978393554688
8362,0088_masks.tif,111,16571.0,833.1543289325507,320.48369170943,67.73135525845693,4.731688750158509,0.9774123831447522,17.234261182592615,3793.2983525436,2508.307042423511,7806,0.4710639068251765,179.89047241210938,179.06072998046875,128.323974609375
8363,0088_masks.tif,112,19151.0,954.6101730552664,357.9770569697604,68.79426149480729,5.203588921392537,0.981360661167848,-26.5010618283256,3919.827998537936,2557.6214296903554,10275,0.5365255078063809,188.5757598876953,186.8097381591797,138.80145263671875
8364,0088_masks.tif,113,6584.0,518.9116882454314,188.814986846886,48.67145437937136,3.879378359544405,0.9662054374171882,-43.414231673730434,5382.033718104496,2512.4911907654923,0,0.0,,,
8365,0088_masks.tif,114,22920.0,1078.7695526217003,452.5276288730611,70.56580071837388,6.412846226730794,0.9877670029572118,-87.06514687512993,2012.3232984293195,2503.1003490401395,3917,0.1708987783595113,191.72886657714844,186.09906005859372,134.80291748046875
8366,0088_masks.tif,115,11493.0,796.5269119345812,318.06172168490855,52.73645995007614,6.031154195522548,0.9861584333805928,87.8649564252747,2079.9378752284,2552.376925084834,3743,0.3256764987383624,199.42453002929688,194.98423767089844,166.08201599121094
8367,0088_masks.tif,116,22375.0,1156.5685424949238,456.622352703878,68.45375134712562,6.670523436887606,0.9886991507154688,-79.26912942612185,1911.574122905028,2614.341363128492,11059,0.4942569832402235,187.330322265625,182.52835083007807,144.39569091796875
8368,0088_masks.tif,117,3596.0,322.8700576850888,101.23924239448456,49.82736655149757,2.031799980636179,0.8704965991704025,-49.10763471473364,5402.818409343715,2616.2994994438263,0,0.0,,,
8369,0088_masks.tif,118,20089.0,1078.0832611206852,442.584671144905,66.22782906028904,6.682759761640501,0.9887407326067283,-83.53078786412014,2044.160236945592,2648.92921499328,9261,0.4609985564239136,180.09652709960938,177.92991638183594,146.1724395751953
8370,0088_masks.tif,119,23430.0,1256.8944443027283,478.1765719816551,68.02344653492757,7.029584596777653,0.989829911751322,-64.10732216360931,2512.0370038412293,2734.891890738369,7488,0.3195902688860435,176.11471557617188,174.0861358642578,136.84054565429688
8371,0088_masks.tif,120,23086.0,1189.681240867132,461.4947381758598,71.1041570069143,6.490404465817423,0.9880593731678912,-20.65589402123888,4232.0049380576975,2821.802564324699,10209,0.4422160616824049,189.42481994628903,188.59133911132807,142.11048889160156
8372,0088_masks.tif,121,23319.0,1159.7817459305202,463.63835003116736,70.14011209962933,6.610174066625388,0.988490653795178,-17.694930084462328,3124.9829752562287,2844.571336678245,7819,0.3353059736695398,189.9580535888672,187.6016082763672,148.07852172851562
8373,0088_masks.tif,122,4279.0,459.5979797464466,164.8186732454896,39.30862898062984,4.192938739397588,0.9711434279242472,-42.89644516463572,5391.637532133676,2723.030614629586,0,0.0,,,
8374,0088_masks.tif,123,24241.0,1214.066017177982,459.6406684226784,78.4297194048108,5.860542048483786,0.9853347087575104,-63.45920167852461,4953.611938451384,2784.991378243472,6659,0.2746998886184563,180.78419494628903,178.27166748046875,132.92701721191406
8375,0088_masks.tif,124,29257.0,1464.9360748630709,539.1808884305602,72.69426149048141,7.417103872788647,0.9908696283353506,-61.23833001725343,1076.2243907440954,2865.731448884028,9439,0.3226236456232697,180.0361328125,174.99554443359375,121.18646240234376
8376,0088_masks.tif,125,25151.0,1407.4213562373095,517.4718323268858,64.01619678609002,8.08345166233503,0.9923184732577228,32.06646744708372,2331.4707168701048,2959.330126038726,9714,0.3862271877857739,189.348876953125,186.0709228515625,148.51390075683594
8377,0088_masks.tif,126,29200.0,1292.9949493661163,489.0545170564864,80.2183169582886,6.096544225812937,0.986455791256342,-66.24138956361746,5202.395171232877,2876.5169520547947,8992,0.307945205479452,178.57818603515625,173.9945526123047,122.9177017211914
8378,0088_masks.tif,127,17531.0,906.509667991878,338.2134195069994,69.1359993537396,4.892001600736321,0.9788842541491656,-55.52619360167616,379.3128172950773,2880.168045177115,10620,0.605784039701101,182.94406127929688,182.2335205078125,147.91873168945312
8379,0088_masks.tif,128,19222.0,1102.8111831820431,429.1641595861514,62.1305578123487,6.907457050077432,0.9894651763030023,74.184757535373,3759.163146394756,2877.5719488086565,5902,0.3070440120695037,175.53744506835938,173.6897735595703,143.6211395263672
8380,0088_masks.tif,129,17550.0,861.8822509939085,321.4706403690184,71.94912982382836,4.468026801104586,0.9746322330662422,-67.06209410744579,3484.8070085470085,2906.9603418803417,6695,0.3814814814814815,181.62315368652344,178.42868041992188,138.16026306152344
8381,0088_masks.tif,130,14294.0,919.1959594928932,357.15441132778176,53.07242386986718,6.729566605126595,0.9888976896057636,-27.25805606957382,1699.8624597733317,2997.682803973695,6595,0.4613823982090387,182.46353149414065,180.1717987060547,139.69931030273438
8382,0088_masks.tif,131,22280.0,1067.2964645562815,415.7651994813367,75.86793922518191,5.480117210608732,0.9832099646980752,-73.89918729066632,4597.134515260324,2985.236983842011,10555,0.4737432675044883,178.89956665039062,175.55091857910156,133.60057067871094
8383,0088_masks.tif,132,18627.0,1075.237590053236,385.47854893680807,63.5177190501244,6.068834881060691,0.9863309685315838,-31.99441359200629,1598.6278520427336,3077.6243624845656,6604,0.3545391098942395,191.2462158203125,187.8538818359375,155.05677795410156
8384,0088_masks.tif,133,19502.0,1024.8528137423857,368.04115764003086,69.125097960948,5.32427683282206,0.98220366928906,25.31100602574592,3644.5195364578,3085.2066454722594,9190,0.4712337196185007,183.98182678222656,183.08367919921875,145.66909790039062
8385,0088_masks.tif,134,22879.0,1028.284271247462,457.5655367585694,64.96449336844046,7.043317249678626,0.9898697339258796,-0.9583832465250964,1765.4026836837274,3144.329428733773,9532,0.4166266008129726,176.1115264892578,170.0032501220703,128.6139373779297
8386,0088_masks.tif,135,19208.0,971.7401153701776,376.4136609443234,69.02331814964589,5.45342749428882,0.9830437970034064,12.427940906438508,5204.0890254060805,3159.551488962932,8527,0.4439296126613911,170.71290588378906,168.9254150390625,141.57968139648438
8387,0088_masks.tif,136,24857.0,1378.735064736294,486.89110959637816,69.67054312437679,6.988478742402992,0.9897092962937484,48.18026866682423,3569.478255622159,3131.3173753872147,10507,0.4226978315967333,180.08290100097656,176.77330017089844,143.89207458496094
8388,0088_masks.tif,137,24247.0,1230.2253967444162,496.0124959327087,76.29302756102112,6.501413193177911,0.9881000199343096,9.758015894208896,5272.584649647379,3238.507073039964,9885,0.4076793005320245,180.51724243164065,181.6516876220703,146.61012268066406
8389,0088_masks.tif,138,21306.0,1029.4974746830585,417.54781010466166,70.51161069683528,5.921688725845574,0.985638204783992,-9.89729386769667,286.43959448042807,3211.85534591195,6803,0.3192997277762133,174.92503356933594,170.48155212402344,138.32778930664062
8390,0088_masks.tif,139,21555.0,1101.095454429505,410.7966198189454,83.19903980949067,4.93751635547223,0.9792758570969118,27.160388870638517,1881.0812804453724,3268.9442356761774,5847,0.2712595685455811,178.56695556640625,173.5452423095703,140.56507873535156
8391,0088_masks.tif,140,24264.0,1020.3259018078044,416.8418696961686,80.03109774072469,5.208498714419783,0.9813961182856356,79.94670439796626,4249.918892185954,3121.1814622485986,9506,0.3917738212990438,171.31263732910156,169.5177764892578,130.73995971679688
8392,0088_masks.tif,141,8065.0,582.3259018078045,212.9606875322268,53.23258970702763,4.0005697394074415,0.9682550286744002,52.31535523810519,5366.226782393056,3194.613267203968,745,0.092374457532548,134.6805419921875,135.97450256347656,110.03623962402344
8393,0088_masks.tif,142,23790.0,1278.8944443027283,493.5306097350041,76.0411936589228,6.490305924821479,0.988059008389931,-27.72560466297405,2702.3408575031526,3347.4376628835644,6096,0.2562421185372005,187.9744110107422,187.3594207763672,144.08448791503906
8394,0088_masks.tif,143,26960.0,1105.7401153701776,448.2863462502909,78.0896524620858,5.740662586095432,0.9847110142023552,9.357064671786352,750.6263724035608,3387.0898367952523,8369,0.3104228486646884,177.47006225585938,170.24710083007812,121.68287658691406
8395,0088_masks.tif,144,19359.0,1090.7523086789977,412.5015902194537,69.32529247815162,5.950232238103526,0.9857766542865438,-62.21122237582591,1493.776796322124,3284.5557621777984,7132,0.3684074590629681,187.0147247314453,184.9835968017578,157.20541381835938
8396,0088_masks.tif,145,19402.0,1084.2670273047588,405.81649973067135,63.76316228610938,6.364434968105045,0.9875790192172952,-22.755435711593528,1632.7840944232553,3400.25584991238,5839,0.3009483558396041,177.7335205078125,174.63247680664062,138.24696350097656
8397,0088_masks.tif,146,21905.0,1143.279220613579,424.1582969235844,71.46829103879746,5.934915901281657,0.9857026136197302,49.5722268949377,4611.026569276421,3359.410362930838,8187,0.3737502853229856,171.89703369140625,170.5207061767578,135.38133239746094
8398,0088_masks.tif,147,23813.0,1195.8233764908628,430.5035712745808,73.17425712661425,5.883265347397726,0.9854486101355372,-63.109341262874274,1487.1901062444883,3360.3469113509427,9521,0.3998236257506404,185.40185546875,182.77964782714844,141.4996337890625
8399,0088_masks.tif,148,19643.0,931.3553390593274,406.2399742398384,65.51012407240852,6.20117851999212,0.986912011742814,-6.18038370429504,921.360128289976,3474.32362673726,6888,0.3506592679325968,183.0843505859375,179.8340606689453,146.1030731201172
8400,0088_masks.tif,149,14362.0,767.7401153701776,299.233209511734,65.04983551453593,4.600060970866988,0.9760851774106368,-20.46711603592937,1752.9477092326974,3530.341804762568,5548,0.3862971730956691,169.9298858642578,167.16006469726562,129.66131591796875
8401,0088_masks.tif,150,20381.0,992.4264068711929,423.5538515588097,67.70273717556209,6.256081647932179,0.98714221277169,-82.12206425251314,4049.959619253226,3457.666601246259,7665,0.3760855698935282,182.7339782714844,180.4002685546875,151.2895050048828
8402,0088_masks.tif,151,16392.0,847.7817459305202,291.6766773214838,79.41712769017846,3.6727175334188713,0.962218643594814,-43.08856779125784,4738.391105417277,3546.9509516837484,8210,0.5008540751586139,178.7414093017578,179.5174102783203,136.6297149658203
