time,area_bin,frequency,condition
20250412,2850,0.012777778,C
20250412,2950,0.009722222,C
20250412,3050,0.006277778,C
20250412,3150,0.006388889,C
20250412,3250,0.004444444,C
20250412,3350,0.003166667,C
20250412,3450,0.0025,C
20250412,550,0.006309694,D
20250412,650,0.006266477,D
20250412,750,0.007001167,D
20250412,850,0.005531786,D
20250412,950,0.008038377,D
20250412,1050,0.019663771,D
20250412,1150,0.044340723,D
20250412,1250,0.079562643,D
20250412,1350,0.107437659,D
20250412,1450,0.119624876,D
20250412,1550,0.115000648,D
20250412,1650,0.104801418,D
20250412,1750,0.09144734,D
20250412,1850,0.0698388,D
20250412,1950,0.051774061,D
20250412,2050,0.038203898,D
20250412,2150,0.029603699,D
20250412,2250,0.022602533,D
20250412,2350,0.017113963,D
20250412,2450,0.013051558,D
20250412,2550,0.008643416,D
20250412,2650,0.008081594,D
20250412,2750,0.005488569,D
20250412,2850,0.00458101,D
20250412,2950,0.003587018,D
20250412,3050,0.003327715,D
20250412,3150,0.002852327,D
20250412,3250,0.002593025,D
20250412,3350,0.002031203,D
20250412,3450,0.001599032,D
20250413,550,0.006168686,C
20250413,650,0.008187528,C
20250413,750,0.010935397,C
20250413,850,0.012225213,C
20250413,950,0.017384477,C
20250413,1050,0.023272768,C
20250413,1150,0.038974877,C
20250413,1250,0.060621355,C
20250413,1350,0.084791386,C
20250413,1450,0.105204127,C
20250413,1550,0.108064154,C
20250413,1650,0.105708838,C
20250413,1750,0.094493046,C
20250413,1850,0.078398385,C
20250413,1950,0.06196725,C
20250413,2050,0.050414984,C
20250413,2150,0.035105428,C
20250413,2250,0.027142216,C
20250413,2350,0.018954688,C
20250413,2450,0.014412293,C
20250413,2550,0.009757739,C
20250413,2650,0.007851054,C
20250413,2750,0.006168686,C
20250413,2850,0.004374159,C
20250413,2950,0.002860027,C
20250413,3050,0.002187079,C
20250413,3150,0.00162629,C
20250413,3250,0.001514132,C
20250413,3350,0.000841184,C
20250413,3450,0.000392553,C
20250413,550,0.007625127,D
20250413,650,0.00851177,D
20250413,750,0.010285056,D
20250413,850,0.01493993,D
20250413,950,0.018708162,D
20250413,1050,0.02863856,D
20250413,1150,0.047036397,D
20250413,1250,0.073901671,D
20250413,1350,0.096156404,D
20250413,1450,0.11703684,D
20250413,1550,0.115396551,D
20250413,1650,0.112913951,D
20250413,1750,0.091457197,D
20250413,1850,0.076605932,D
20250413,1950,0.060513366,D
20250413,2050,0.041007226,D
20250413,2150,0.0271756,D
20250413,2250,0.016713215,D
20250413,2350,0.010772709,D
20250413,2450,0.007580795,D
20250413,2550,0.004521878,D
20250413,2650,0.00332491,D
20250413,2750,0.002792925,D
20250413,2850,0.001640289,D
20250413,2950,0.001551625,D
20250413,3050,0.001152636,D
20250413,3150,0.000797978,D
20250413,3250,0.000709314,D
20250413,3350,0.000265993,D
20250413,3450,0.000265993,D
20250414,550,0.009512974,C
20250414,650,0.010619133,C
20250414,750,0.011788502,C
20250414,850,0.014917354,C
20250414,950,0.0159287,C
20250414,1050,0.018551879,C
20250414,1150,0.020258525,C
20250414,1250,0.025504883,C
20250414,1350,0.036534876,C
20250414,1450,0.050377675,C
20250414,1550,0.064315287,C
20250414,1650,0.078031668,C
20250414,1750,0.082171866,C
20250414,1850,0.08621725,C
20250414,1950,0.08871401,C
20250414,2050,0.082772352,C
20250414,2150,0.076641067,C
20250414,2250,0.061028413,C
20250414,2350,0.052842831,C
20250414,2450,0.039726937,C
20250414,2550,0.026294997,C
20250414,2650,0.017635347,C
20250414,2750,0.010903574,C
20250414,2850,0.0076167,C
20250414,2950,0.004140198,C
20250414,3050,0.002781202,C
20250414,3150,0.001864669,C
20250414,3250,0.001137764,C
20250414,3350,0.00075851,C
20250414,3450,0.000410859,C
20250414,550,0.007988833,D
20250414,650,0.010305298,D
20250414,750,0.011790211,D
20250414,850,0.01473034,D
20250414,950,0.016868615,D
20250414,1050,0.017789261,D
20250414,1150,0.020848182,D
20250414,1250,0.023818009,D
20250414,1350,0.02859943,D
20250414,1450,0.036914944,D
20250414,1550,0.045052269,D
20250414,1650,0.055090283,D
20250414,1750,0.065009503,D
20250414,1850,0.072018294,D
20250414,1950,0.078641007,D
20250414,2050,0.078047042,D
20250414,2150,0.083570919,D
20250414,2250,0.075463293,D
20250414,2350,0.066910192,D
20250414,2450,0.056040627,D
20250414,2550,0.044606795,D
20250414,2650,0.031925636,D
20250414,2750,0.022867665,D
20250414,2850,0.012948444,D
20250414,2950,0.009176764,D
20250414,3050,0.005583274,D
20250414,3150,0.003118318,D
20250414,3250,0.001989784,D
20250414,3350,0.00136612,D
20250414,3450,0.000920646,D
20250415,550,0.011394929,A
20250415,650,0.01600038,A
20250415,750,0.017709619,A
20250415,850,0.01808945,A
20250415,950,0.017994492,A
20250415,1050,0.016855,A
20250415,1150,0.016570126,A
20250415,1250,0.020036084,A
20250415,1350,0.024973887,A
20250415,1450,0.034232267,A
20250415,1550,0.043063337,A
20250415,1650,0.050897351,A
20250415,1750,0.060013294,A
20250415,1850,0.064571266,A
20250415,1950,0.067657392,A
20250415,2050,0.068227139,A
20250415,2150,0.067277561,A
20250415,2250,0.066043111,A
20250415,2350,0.056689773,A
20250415,2450,0.055170449,A
20250415,2550,0.044535182,A
20250415,2650,0.037698224,A
20250415,2750,0.0328079,A
20250415,2850,0.024973887,A
20250415,2950,0.02060583,A
20250415,3050,0.014338619,A
20250415,3150,0.011537366,A
20250415,3250,0.009590732,A
20250415,3350,0.005792422,A
20250415,3450,0.004652929,A
20250416,550,0.010561977,A
20250416,650,0.014149063,A
20250416,750,0.01879899,A
20250416,850,0.021190381,A
20250416,950,0.028430982,A
20250416,1050,0.032150923,A
20250416,1150,0.03680085,A
20250416,1250,0.040852929,A
20250416,1350,0.045967849,A
20250416,1450,0.048691378,A
20250416,1550,0.054138435,A
20250416,1650,0.04915637,A
20250416,1750,0.057127674,A
20250416,1850,0.060382623,A
20250416,1950,0.055267703,A
20250416,2050,0.05506842,A
20250416,2150,0.055732696,A
20250416,2250,0.048691378,A
20250416,2350,0.041251495,A
20250416,2450,0.040122227,A
20250416,2550,0.034675169,A
20250416,2650,0.031685931,A
20250416,2750,0.027301714,A
20250416,2850,0.023050352,A
20250416,2950,0.01773615,A
20250416,3050,0.015477614,A
20250416,3150,0.012421948,A
20250416,3250,0.009565564,A
20250416,3350,0.007506311,A
20250416,3450,0.006044905,A
20250417,550,0.00821407,A
20250417,650,0.009423503,A
20250417,750,0.014210845,A
20250417,850,0.020258012,A
20250417,950,0.023886313,A
20250417,1050,0.026809111,A
20250417,1150,0.03517436,A
20250417,1250,0.038802661,A
20250417,1350,0.042481355,A
20250417,1450,0.049284418,A
20250417,1550,0.051854465,A
20250417,1650,0.055079621,A
20250417,1750,0.056238662,A
20250417,1850,0.055936303,A
20250417,1950,0.055331586,A
20250417,2050,0.055079621,A
20250417,2150,0.054374118,A
20250417,2250,0.05145132,A
20250417,2350,0.04716791,A
20250417,2450,0.046109655,A
20250417,2550,0.038248337,A
20250417,2650,0.031697238,A
20250417,2750,0.029731909,A
20250417,2850,0.024037492,A
20250417,2950,0.020258012,A
20250417,3050,0.018343076,A
20250417,3150,0.014563596,A
20250417,3250,0.010935295,A
20250417,3350,0.008516428,A
20250417,3450,0.006500706,A
20250418,550,0.004887454,A
20250418,650,0.007981347,A
20250418,750,0.011792664,A
20250418,850,0.018025289,A
20250418,950,0.022823065,A
20250418,1050,0.029235046,A
20250418,1150,0.02905569,A
20250418,1250,0.034346695,A
20250418,1350,0.044614833,A
20250418,1450,0.047753565,A
20250418,1550,0.051026814,A
20250418,1650,0.051968433,A
20250418,1750,0.06044301,A
20250418,1850,0.062012376,A
20250418,1950,0.063402385,A
20250418,2050,0.061160434,A
20250418,2150,0.059994619,A
20250418,2250,0.055107165,A
20250418,2350,0.049681643,A
20250418,2450,0.043090306,A
20250418,2550,0.038965115,A
20250418,2650,0.031880549,A
20250418,2750,0.028248588,A
20250418,2850,0.022733387,A
20250418,2950,0.016455923,A
20250418,3050,0.014572684,A
20250418,3150,0.012510089,A
20250418,3250,0.010043942,A
20250418,3350,0.009012645,A
20250418,3450,0.007174244,A
20250419,550,0.004169976,A
20250419,650,0.008737093,A
20250419,750,0.013105639,A
20250419,850,0.018347895,A
20250419,950,0.022637014,A
20250419,1050,0.029467832,A
20250419,1150,0.033320095,A
20250419,1250,0.038204925,A
20250419,1350,0.046584591,A
20250419,1450,0.049880858,A
20250419,1550,0.055003971,A
20250419,1650,0.058498809,A
20250419,1750,0.06096108,A
20250419,1850,0.064058777,A
20250419,1950,0.066957903,A
20250419,2050,0.065647339,A
20250419,2150,0.064694202,A
20250419,2250,0.053256553,A
20250419,2350,0.047140588,A
20250419,2450,0.042732327,A
20250419,2550,0.033677522,A
20250419,2650,0.027640985,A
20250419,2750,0.022478157,A
20250419,2850,0.017871326,A
20250419,2950,0.015011914,A
20250419,3050,0.010722796,A
20250419,3150,0.010166799,A
20250419,3250,0.007148531,A
20250419,3350,0.006115965,A
20250419,3450,0.005758539,A
20250420,550,0.005451067,A
20250420,650,0.00812245,A
20250420,750,0.013717916,A
20250420,850,0.020143677,A
20250420,950,0.026352839,A
20250420,1050,0.030829212,A
20250420,1150,0.035269485,A
20250420,1250,0.038085268,A
20250420,1350,0.043247536,A
20250420,1450,0.045016425,A
20250420,1550,0.046857514,A
20250420,1650,0.050647991,A
20250420,1750,0.05732645,A
20250420,1850,0.062416519,A
20250420,1950,0.06230822,A
20250420,2050,0.064835205,A
20250420,2150,0.063463413,A
20250420,2250,0.061369626,A
20250420,2350,0.056026858,A
20250420,2450,0.048554204,A
20250420,2550,0.039818057,A
20250420,2650,0.035594383,A
20250420,2750,0.023067759,A
20250420,2850,0.0163893,A
20250420,2950,0.013645717,A
20250420,3050,0.009458142,A
20250420,3150,0.007364355,A
20250420,3250,0.005992563,A
20250420,3350,0.004729071,A
20250420,3450,0.003898776,A
20250421,550,0.003242846,A
20250421,650,0.005382455,A
20250421,750,0.008090399,A
20250421,850,0.012770794,A
20250421,950,0.01721717,A
20250421,1050,0.019991976,A
20250421,1150,0.025073549,A
20250421,1250,0.028583846,A
20250421,1350,0.032194437,A
20250421,1450,0.036039048,A
20250421,1550,0.043293661,A
20250421,1650,0.044396898,A
20250421,1750,0.049979941,A
20250421,1850,0.05593073,A
20250421,1950,0.057903183,A
20250421,2050,0.064154854,A
20250421,2150,0.067263974,A
20250421,2250,0.07050682,A
20250421,2350,0.065659267,A
20250421,2450,0.060611126,A
20250421,2550,0.052955336,A
20250421,2650,0.04613533,A
20250421,2750,0.034935812,A
20250421,2850,0.028149238,A
20250421,2950,0.019757957,A
20250421,3050,0.015512169,A
20250421,3150,0.012536775,A
20250421,3250,0.008491575,A
20250421,3350,0.007120888,A
20250421,3450,0.006117946,A
20250422,550,0.001397667,total
20250422,650,0.002187652,total
20250422,750,0.003099174,total
20250422,850,0.004739912,total
20250422,950,0.008446767,total
20250422,1050,0.011424404,total
20250422,1150,0.026434127,total
20250422,1250,0.046366067,total
20250422,1350,0.071827905,total
20250422,1450,0.097897423,total
20250422,1550,0.103366553,total
20250422,1650,0.10506806,total
20250422,1750,0.099052018,total
20250422,1850,0.090058337,total
20250422,1950,0.074137093,total
20250422,2050,0.056757414,total
20250422,2150,0.04788527,total
20250422,2250,0.036764706,total
20250422,2350,0.02698104,total
20250422,2450,0.018291201,total
20250422,2550,0.01671123,total
20250422,2650,0.013855129,total
20250422,2750,0.008385999,total
20250422,2850,0.007839086,total
20250422,2950,0.006259115,total
20250422,3050,0.004071463,total
20250422,3150,0.003889159,total
20250422,3250,0.00352455,total
20250422,3350,0.001579971,total
20250422,3450,0.001701507,total
20250423,550,0.004410838,5PM_#1
20250423,650,0.009451796,5PM_#1
20250423,750,0.016663166,5PM_#1
20250423,850,0.023664496,5PM_#1
20250423,950,0.027235175,5PM_#1
20250423,1050,0.039277463,5PM_#1
20250423,1150,0.063572079,5PM_#1
20250423,1250,0.084856123,5PM_#1
20250423,1350,0.109010712,5PM_#1
20250423,1450,0.111951271,5PM_#1
20250423,1550,0.110551005,5PM_#1
20250423,1650,0.095988238,5PM_#1
20250423,1750,0.080725338,5PM_#1
20250423,1850,0.063292025,5PM_#1
20250423,1950,0.049009312,5PM_#1
20250423,2050,0.033676399,5PM_#1
20250423,2150,0.021774137,5PM_#1
20250423,2250,0.01505286,5PM_#1
20250423,2350,0.010011902,5PM_#1
20250423,2450,0.006861304,5PM_#1
20250423,2550,0.005741091,5PM_#1
20250423,2650,0.004270811,5PM_#1
20250423,2750,0.003360639,5PM_#1
20250423,2850,0.002590492,5PM_#1
20250423,2950,0.002730519,5PM_#1
20250423,3050,0.001610306,5PM_#1
20250423,3150,0.000980186,5PM_#1
20250423,3250,0.00084016,5PM_#1
20250423,3350,0.000350067,5PM_#1
20250423,3450,0.000490093,5PM_#1
20250423,550,0.003012237,5PM_#3
20250423,650,0.00545968,5PM_#3
20250423,750,0.010605585,5PM_#3
20250423,850,0.014370882,5PM_#3
20250423,950,0.020269846,5PM_#3
20250423,1050,0.036711641,5PM_#3
20250423,1150,0.066143709,5PM_#3
20250423,1250,0.095073737,5PM_#3
20250423,1350,0.10844054,5PM_#3
20250423,1450,0.116284907,5PM_#3
20250423,1550,0.114339504,5PM_#3
20250423,1650,0.100156887,5PM_#3
20250423,1750,0.083338563,5PM_#3
20250423,1850,0.067838092,5PM_#3
20250423,1950,0.042422341,5PM_#3
20250423,2050,0.034201443,5PM_#3
20250423,2150,0.020520866,5PM_#3
20250423,2250,0.015688735,5PM_#3
20250423,2350,0.01054283,5PM_#3
20250423,2450,0.006652024,5PM_#3
20250423,2550,0.00558519,5PM_#3
20250423,2650,0.005145905,5PM_#3
20250423,2750,0.003012237,5PM_#3
20250423,2850,0.003012237,5PM_#3
20250423,2950,0.002635708,5PM_#3
20250423,3050,0.002259178,5PM_#3
20250423,3150,0.001694383,5PM_#3
20250423,3250,0.001694383,5PM_#3
20250423,3350,0.001568874,5PM_#3
20250423,3450,0.001317854,5PM_#3
20250423,550,0.004178107,5PM_#4
20250423,650,0.006804345,5PM_#4
20250423,750,0.014205563,5PM_#4
20250423,850,0.018503044,5PM_#4
20250423,950,0.027038319,5PM_#4
20250423,1050,0.042258565,5PM_#4
20250423,1150,0.064163782,5PM_#4
20250423,1250,0.089590546,5PM_#4
20250423,1350,0.110122956,5PM_#4
20250423,1450,0.116390116,5PM_#4
20250423,1550,0.108809836,5PM_#4
20250423,1650,0.090306792,5PM_#4
20250423,1750,0.077533723,5PM_#4
20250423,1850,0.060821296,5PM_#4
